qhat,theta,n_safe,n_uncertain,n_risk,frac_safe,frac_uncertain,frac_risk
0.024440820012598,1.5,58,26,60,0.4027777777777778,0.18055555555555555,0.4166666666666667
0.014956470628531,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.014956470628531,1.45,103,8,33,0.7152777777777778,0.05555555555555555,0.22916666666666666
0.014956470628531,1.5,72,12,60,0.5,0.08333333333333333,0.4166666666666667
0.0171138157932075,1.4,131,3,10,0.9097222222222222,0.020833333333333332,0.06944444444444445
0.0171138157932075,1.45,102,9,33,0.7083333333333334,0.0625,0.22916666666666666
0.0171138157932075,1.5,69,15,60,0.4791666666666667,0.10416666666666667,0.4166666666666667
0.0321173532568648,1.4,124,10,10,0.8611111111111112,0.06944444444444445,0.06944444444444445
0.0321173532568648,1.45,94,17,33,0.6527777777777778,0.11805555555555555,0.22916666666666666
0.0321173532568648,1.5,46,38,60,0.3194444444444444,0.2638888888888889,0.4166666666666667
0.029141008903361,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.029141008903361,1.45,95,16,33,0.6597222222222222,0.1111111111111111,0.22916666666666666
0.029141008903361,1.5,51,33,60,0.3541666666666667,0.22916666666666666,0.4166666666666667
0.0211954316321054,1.4,127,7,10,0.8819444444444444,0.04861111111111111,0.06944444444444445
0.0211954316321054,1.45,100,11,33,0.6944444444444444,0.0763888888888889,0.22916666666666666
0.0211954316321054,1.5,63,21,60,0.4375,0.14583333333333334,0.4166666666666667
0.018616855159909,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.018616855159909,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.018616855159909,1.5,65,19,60,0.4513888888888889,0.13194444444444445,0.4166666666666667
0.0322707763863772,1.4,124,10,10,0.8611111111111112,0.06944444444444445,0.06944444444444445
0.0322707763863772,1.45,94,17,33,0.6527777777777778,0.11805555555555555,0.22916666666666666
0.0322707763863772,1.5,46,38,60,0.3194444444444444,0.2638888888888889,0.4166666666666667
0.0190700920879738,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0190700920879738,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0190700920879738,1.5,65,19,60,0.4513888888888889,0.13194444444444445,0.4166666666666667
0.0224194854916048,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0224194854916048,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0224194854916048,1.5,60,24,60,0.4166666666666667,0.16666666666666666,0.4166666666666667
0.021773505510056,1.4,127,7,10,0.8819444444444444,0.04861111111111111,0.06944444444444445
0.021773505510056,1.45,100,11,33,0.6944444444444444,0.0763888888888889,0.22916666666666666
0.021773505510056,1.5,62,22,60,0.4305555555555556,0.1527777777777778,0.4166666666666667
0.0330878741717384,1.4,124,10,10,0.8611111111111112,0.06944444444444445,0.06944444444444445
0.0330878741717384,1.45,93,18,33,0.6458333333333334,0.125,0.22916666666666666
0.0330878741717384,1.5,42,42,60,0.2916666666666667,0.2916666666666667,0.4166666666666667
0.0218197108190039,1.4,127,7,10,0.8819444444444444,0.04861111111111111,0.06944444444444445
0.0218197108190039,1.45,100,11,33,0.6944444444444444,0.0763888888888889,0.22916666666666666
0.0218197108190039,1.5,62,22,60,0.4305555555555556,0.1527777777777778,0.4166666666666667
0.029251664005679,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.029251664005679,1.45,95,16,33,0.6597222222222222,0.1111111111111111,0.22916666666666666
0.029251664005679,1.5,51,33,60,0.3541666666666667,0.22916666666666666,0.4166666666666667
0.0237325962211134,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0237325962211134,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0237325962211134,1.5,58,26,60,0.4027777777777778,0.18055555555555555,0.4166666666666667
