sample_id,split,FW_THICK_CM,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,LI6_ENRICH_ATOM_FRAC,tbr,tbr_pred,ci_lower,ci_upper,pr_tbr_gt_1.05,pr_tbr_gt_1.10,pr_tbr_gt_1.15,pr_tbr_gt_1.20,pr_tbr_gt_1.25,pr_tbr_gt_1.30,pr_tbr_gt_1.35,pr_tbr_gt_1.40,pr_tbr_gt_1.45,pr_tbr_gt_1.50
72,train,4.779471365111548,48.68755818210526,32.57038582899479,18.20455749900897,0.551543114611339,1.390283479828,1.390273424811457,1.3550892335594238,1.4254576160634902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36177634269224757,0.0,0.0
73,train,2.76763151646048,48.03197850420882,37.29287332299626,10.959013642525496,0.5786469826400729,1.527592046964,1.5275150928695884,1.4923309016175552,1.5626992841216216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8910149969412526
74,test,4.456173988423727,52.02060635754975,36.82888680064104,11.182789227741976,0.7294689241680015,1.441254919372,1.4463707934554833,1.41118660220345,1.4815549847075165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4484256079879769,0.0
75,calibration,3.72120023739504,52.95597223716911,13.194561670533371,29.176028713217065,0.3044464805934301,1.419422746416,1.4546069376680333,1.419422746416,1.4897911289200665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.565468858372112,0.0
76,train,4.314163801800447,79.13140213518498,25.723554135403475,12.080799651975806,0.6392934968163555,1.442071767853,1.4419459817214193,1.406761790469386,1.4771301729734525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3855449281058118,0.0
77,train,4.5995171945609234,76.28276204969937,42.61756425531446,25.0758507936203,0.6190880608589684,1.41583516412,1.4159103268324684,1.3807261355804352,1.4510945180845016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7261005051743104,0.015554117425371015,0.0
78,train,4.576917967819896,56.31592022775428,15.243372102901034,25.16131563301168,0.8004914642899783,1.438177179018,1.4382495387351455,1.4030653474831123,1.473433729987179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3330150438774789,0.0
79,train,1.4659555329170584,75.08074767602096,38.36019399302819,10.197157502174544,0.7545041931736021,1.53608096143,1.534771909287764,1.4995877180357309,1.5699561005397973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9941410907910907
80,train,2.4018134026073854,39.024877975548165,11.848169003186676,16.400864879938624,0.690481992241829,1.54401799045,1.5441029640665174,1.5089187728144842,1.5792871553185506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,train,2.607823971094559,37.292665501253865,20.051378940154148,16.15376247208527,0.7438169054701268,1.543817636719,1.5437415112353403,1.508557319983307,1.5789257024873735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,train,3.487708369714863,60.349510637902085,15.334158444206295,19.871470927594,0.4242192841477468,1.468655464239,1.4688019166761626,1.4336177254241294,1.5039861079281958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7671926795400773,0.056646291791138045
83,train,1.836526990426144,59.33946868204932,45.914199177122754,21.72592685210092,0.6586407415989766,1.543389712943,1.5434332803717166,1.5082490891196834,1.5786174716237498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,train,3.203983493894792,35.95321985113366,43.32320966019599,11.714943400898076,0.65371743724102,1.51640038562,1.5162657428124846,1.4810815515604514,1.5514499340645178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.731151295989284
85,train,1.2501222297466503,54.75726792549072,39.82199662988078,14.616406498631427,0.7250552930093073,1.525808774258,1.5258013219383586,1.4906171306863254,1.5609855131903918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666607220489629
86,train,1.9755086467489704,75.42605758361759,18.28953660168736,12.704165349972971,0.8091577826832783,1.549058723544,1.549027028408603,1.5138428371565698,1.5842112196606362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,test,3.0037678621952946,71.90896453272323,48.355926450644304,12.916200304738773,0.8624410827292501,1.538338064578,1.5377133696903738,1.5025291784383406,1.572897560942407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,train,1.3273152520734233,53.58360017291372,29.859320316718343,20.151894972293,0.8542719426717169,1.529111710591,1.529170327318398,1.4939861360663649,1.5643545185704313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9145374141108388
89,train,1.066917566427464,44.23354406606033,23.79209330293609,14.197165219574275,0.8343468372340743,1.514590836761,1.5148039005090357,1.4796197092570025,1.5499880917610689,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7103771606257996
90,train,1.8611581019477967,50.27403980011553,29.453145420042524,17.656002807987157,0.8444144854891056,1.547587858037,1.547415423310382,1.5122312320583489,1.5825996145624153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,train,2.715744776016098,72.90283536506828,30.296612669627343,11.469588103049114,0.5475750102457122,1.526014134703,1.5263561750683057,1.4911719838162725,1.5615403663203389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8745456997932647
92,test,4.741830759006486,74.03768607657389,26.804909962966605,17.616350631397847,0.7951556409562575,1.424260201344,1.4286870973819628,1.3935029061299296,1.463871288633996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9076702683951147,0.1971238806461754,0.0
93,train,1.74771204944154,62.07092987497477,43.49414317675511,21.446890880333527,0.6554215569597912,1.541856932405,1.5419923185055466,1.5068081272535134,1.5771765097575798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,train,4.359228912691627,55.46360678725837,43.685456674436026,14.05860313547658,0.3613830231162493,1.385420343617,1.3853818758045944,1.3501976845525612,1.4205660670566276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29226289314578474,0.0,0.0
95,train,4.660918272574355,70.62703941436692,34.632420016158065,16.78948099821598,0.6059486440125414,1.408906570835,1.4161483106305437,1.3809641193785105,1.451332501882577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7294824757356134,0.01893608798667413,0.0
96,train,2.032852482971652,69.03030381082824,21.76334380709548,15.65996690299072,0.8846184180394079,1.55069652922,1.5506046521879464,1.5154204609359132,1.5857888434399796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
